trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'a': 0.4, 'e': 0.29375770032353277}",25,0,-6.217719100395834,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
50,False,"{'a': 0.4, 'e': 0.2865047968601901}",25,0,-42.4104547879534,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.4, 'e': 0.2794309682214073}",25,4,-35.12365510794475,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.4, 'e': 0.2725317930340126}",30,12,33.992617620658365,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.4, 'e': 0.26580295908892654}",20,1,9.662582620784445,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.4, 'e': 0.2592402606458915}",30,16,28.10382737813806,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.4, 'e': 0.25283959580474646}",25,14,22.750366545713803,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.24659696394160643}",20,0,-110.56989317869692,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
57,False,"{'a': 0.4, 'e': 0.24050846320834213}",35,25,19.9903039355212,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.4, 'e': 0.23457028809379762}",25,5,5.729794596476193,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
59,False,"{'a': 0.4, 'e': 0.22877872704522242}",20,3,29.358073131998626,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.4, 'e': 0.22313016014842982}",20,16,7.534344007330057,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.4, 'e': 0.21762105686523284}",20,0,-21.45871810162052,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.4, 'e': 0.21224797382674304}",25,6,26.581132621315792,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.4, 'e': 0.2070075526811526}",20,9,5.089012153674027,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.4, 'e': 0.20189651799465538}",25,18,11.483077680967288,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.4, 'e': 0.19691167520419406}",25,10,-31.44357306260372,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.4, 'e': 0.19204990862075408}",30,12,28.572095887377102,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.4, 'e': 0.18730817948195702}",30,12,20.484118424371978,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.4, 'e': 0.1826835240527346}",25,11,0.4467387479246352,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.4, 'e': 0.1781730517728984}",25,15,12.796672964347486,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.4, 'e': 0.17377394345044514}",20,3,27.69333729540883,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.4, 'e': 0.16948344949947006}",30,0,36.1522469176532,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
72,False,"{'a': 0.4, 'e': 0.16529888822158653}",30,0,45.121519788247085,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.4, 'e': 0.16121764412977674}",25,13,23.75257407963851,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.4, 'e': 0.1572371663136276}",30,17,17.735085964089926,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.4, 'e': 0.15335496684492847}",25,9,16.122195388701243,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.4, 'e': 0.14956861922263504}",25,9,12.078216030657794,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.4, 'e': 0.14587575685622736}",20,6,23.34912100676989,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.4, 'e': 0.14227407158651353}",20,0,17.752664227384496,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.4, 'e': 0.13876131224295524}",20,0,7.26853935531701,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
80,False,"{'a': 0.4, 'e': 0.1353352832366127}",20,9,23.255229112350655,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.4, 'e': 0.13199384318783022}",20,1,16.445115863441597,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.4, 'e': 0.12873490358780418}",25,18,5.052141114674547,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.4, 'e': 0.1255564274931972}",25,3,4.932697619665758,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.1224564282529819}",20,3,26.51436026967079,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.4, 'e': 0.11943296826671962}",25,12,21.140932987344776,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.4, 'e': 0.11648415777349697}",20,16,6.784855085535672,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 0.11360815367076371}",20,8,23.273899419394724,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.4, 'e': 0.11080315836233387}",20,12,5.65675305678421,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.4, 'e': 0.10806741863482926}",30,22,11.223914319411307,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.4, 'e': 0.10539922456186433}",25,17,14.858659645868094,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.4, 'e': 0.1027969084352864}",30,0,26.36454231523406,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.4, 'e': 0.1002588437228037}",30,16,23.43547324945706,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.09778344405135005}",20,2,18.696776524644054,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.4, 'e': 0.09536916221554961}",20,0,26.68176494577588,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.4, 'e': 0.09301448921066349}",20,9,18.748926005054813,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.4, 'e': 0.09071795328941247}",25,13,23.068989516217467,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.4, 'e': 0.08847811904208727}",25,10,23.477256308415885,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.4, 'e': 0.0862935864993705}",30,13,-8.97190089302711,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.4, 'e': 0.08416299025731036}",20,12,2.978730182535264,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.4, 'e': 0.0820849986238988}",35,22,22.645184036513093,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.4, 'e': 0.08005831278672051}",20,9,18.700624993575488,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.4, 'e': 0.07808166600115313}",25,2,-6.352145279081858,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.4, 'e': 0.07615382279861033}",20,5,17.60162576355837,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.4, 'e': 0.07427357821433388}",20,16,9.136034949537805,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.4, 'e': 0.07243975703425146}",20,13,14.43819504919906,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.4, 'e': 0.07065121306042957}",30,23,11.562214251429719,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.4, 'e': 0.06890682839466256}",20,5,10.357983365023777,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.4, 'e': 0.06720551273974976}",30,11,28.17959361696955,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.4, 'e': 0.06554620271802433}",25,13,22.865346482212892,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.4, 'e': 0.06392786120670757}",20,10,18.332590725271878,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
